wall_time,step,value
1604180457.264117,832787,-13972.0
1604180459.9238908,833960,-9542.599609375
1604180461.678269,834793,-5432.0
1604180463.694062,835688,-7052.89990234375
1604180465.150157,836322,-2721.199951171875
1604180466.878325,837095,-6163.2998046875
1604180468.328564,837718,-3512.10009765625
1604180470.335574,838638,-7062.7001953125
1604180472.0482728,839369,-4151.7001953125
1604180473.7230132,840189,-3710.39990234375
1604180478.213718,841987,-15152.0
1604180479.434828,842601,-2281.10009765625
1604180480.960641,843231,-2541.199951171875
1604180482.447026,843813,-4263.2998046875
1604180484.2324831,844583,-4161.2998046875
1604180486.0257301,845353,-5342.5
1604180487.5701718,846011,-3221.60009765625
1604180489.08251,846708,-4382.2998046875
1604180490.5730948,847266,-1601.0
1604180492.063255,847951,-4272.2001953125
1604180493.838938,848702,-3440.800048828125
1604180495.037354,849273,-2061.199951171875
1604180496.55581,849907,-3231.699951171875
1604180499.255008,851066,-7220.5
1604180502.239598,852312,-10302.7998046875
1604180504.622703,853306,-7952.89990234375
1604180507.0510058,854283,-8723.599609375
1604180509.1702,855213,-5851.39990234375
1604180511.5464928,856292,-7281.2998046875
1604180516.221306,858323,-16601.19921875
1604180518.883923,859500,-8501.599609375
1604180521.198289,860500,-7552.5
1604180524.384983,861896,-9430.400390625
1604180526.182612,862675,-4321.39990234375
1604180528.578476,863672,-5720.7001953125
1604180532.345442,865280,-15634.400390625
1604180533.827965,866034,-3711.0
1604180535.562446,866794,-2720.10009765625
1604180537.2646558,867547,-3841.199951171875
1604180540.659154,869051,-11030.900390625
1604180545.170069,871159,-18041.80078125
1604180547.475562,872166,-6691.60009765625
1604180549.21218,872889,-3701.300048828125
1604180551.2103958,873737,-5421.89990234375
1604180552.3478541,874302,-1921.199951171875
1604180553.759805,874995,-5133.0
1604180555.4582589,875653,-3311.60009765625
1604180556.622565,876285,-2721.300048828125
1604180558.931184,877217,-6041.60009765625
1604180560.942209,878103,-4961.0
1604180563.207967,879200,-7671.60009765625
1604180565.759737,880377,-7080.2998046875
1604180567.494854,881126,-3110.60009765625
1604180569.5301208,881998,-3930.199951171875
1604180571.53474,882826,-5462.10009765625
1604180572.691605,883374,-2552.0
1604180574.1571698,884006,-2961.60009765625
1604180575.3252301,884565,-2091.5
1604180576.782298,885186,-2281.0
1604180577.9838989,885737,-1540.9000244140625
1604180579.773001,886415,-3481.60009765625
1604180581.2616498,887101,-3111.199951171875
1604180583.6313221,888150,-9143.599609375
1604180585.3870459,888836,-2350.39990234375
1604180587.392094,889752,-5231.0
1604180589.146443,890550,-5102.0
1604180590.875802,891386,-5742.2998046875
1604180593.149487,892336,-5581.0
1604180594.830008,893115,-4631.7001953125
1604180596.2466078,893766,-3431.800048828125
1604180598.241987,894680,-6792.39990234375
1604180599.9798,895447,-3751.0
1604180601.4273689,896056,-2541.39990234375
